datetime,t_amb,t_ref,t_sup_prim,t_ret_prim,t_sup_sec,t_ret_sec,qizm,forecast_temp,forecast_feelslike,forecast_dew,forecast_humidity,forecast_precip,forecast_precipprob,forecast_snowdepth,forecast_windgust,forecast_windspeed,forecast_winddir,forecast_sealevelpressure,forecast_cloudcover,forecast_visibility,davis_out,davis_temp,davis_temp_1,davis_hum,davis_pt_,davis_speed,davis_run,davis_speed_1,davis_chill,davis_index,davis_index_1,davis_bar__,davis_rain,davis_rate,davis_d-d_,davis_d-d__1,davis_temp_2,davis_hum_1,davis_dew,davis_heat,davis_emc,davis_density,davis_samp,davis_tx_,davis_recept,davis_int_,temperature_35_11,relative_humidity_35_11,temperature_35_16,relative_humidity_35_16,temperature_35_2,relative_humidity_35_2,temperature_35_5,relative_humidity_35_5,temperature_35_7,relative_humidity_35_7,co2_35_7
2024-11-17 06:00:00,1.7600000000000002,49.239999999999995,80.62,48.56,46.760000000000005,30.98,183.19999999948777,1.0,-0.7,0.0,93.03,,0,,,5.4,150.0,1019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.899999999999995,37.56666666666667,20.633333333333336,45.29999999999999,,,23.133333333333336,45.9,22.2,32.8,610.3076923076923
2024-11-17 06:15:00,1.54,49.4,84.94,53.7,52.6,37.9,174.6000000021013,1.0,-0.7,0.0,93.03,,0,,,5.4,150.0,1019.0,50.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,22.833333333333332,37.6,20.566666666666666,45.13333333333333,,,23.133333333333336,45.79999999999999,22.100000000000005,32.7,603.8571428571429
2024-11-17 06:30:00,1.2,49.6,88.53999999999999,50.56,51.82000000000001,41.94,157.4000000000524,0.0,-2.6,0.0,100.0,,0,,,7.6,120.0,1019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,37.46666666666667,20.466666666666665,45.166666666666664,,,23.066666666666666,45.79999999999999,22.03333333333333,32.6,597.9230769230769
2024-11-17 06:45:00,1.1800000000000002,49.64,87.66,47.7,49.82,42.54,94.19999999954598,0.0,-2.6,0.0,100.0,,0,,,7.6,120.0,1019.0,25.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,37.36666666666667,20.4,45.1,,,23.03333333333333,45.79999999999999,22.0,32.6,590.9230769230769
2024-11-17 07:00:00,1.24,49.54,87.36,46.64,48.88,41.5,86.20000000155414,0.0,-1.8,0.0,100.0,,0,,,5.4,110.0,1019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,37.36666666666667,20.433333333333334,44.9,,,23.0,45.76666666666667,22.0,32.9,579.4285714285714
2024-11-17 07:15:00,1.46,49.480000000000004,83.4,46.96,48.67999999999999,40.980000000000004,85.19999999771244,-0.1,-1.8,-0.1,99.79,,0,,,5.3,108.0,1019.1,25.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,22.866666666666664,37.266666666666666,20.7,44.86666666666667,,,23.100000000000005,45.6,22.03333333333333,32.766666666666666,582.8
2024-11-17 07:30:00,1.7600000000000002,49.22,75.38,47.760000000000005,48.42,40.68,90.4000000009546,1.0,-0.7,0.0,93.03,,0,,,5.4,120.0,1019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.96666666666667,37.06666666666667,20.95,44.849999999999994,,,23.166666666666668,45.6,22.100000000000005,32.5,581.3333333333334
2024-11-17 07:45:00,1.98,49.06,74.1,48.38,48.760000000000005,40.660000000000004,97.19999999651918,1.0,-0.7,0.0,93.03,,0,,,5.4,120.0,1019.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,23.133333333333336,36.9,16.2,36.333333333333336,,,23.266666666666666,45.6,22.2,32.233333333333334,563.0769230769231
2024-11-17 08:00:00,2.46,48.72,84.61999999999999,49.1,50.3,41.08,104.60000000239233,2.0,-0.3,0.0,86.6,,0,,,7.6,110.0,1019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.366666666666664,36.699999999999996,13.9,41.166666666666664,,,23.366666666666664,45.6,22.333333333333332,32.03333333333333,560.6923076923077
2024-11-17 08:15:00,2.7800000000000002,48.519999999999996,85.53999999999999,47.08,49.1,41.54,95.79999999914435,2.0,-0.3,0.0,86.6,,0,,,7.6,110.0,1019.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,36.0,15.65,44.349999999999994,,,23.433333333333334,45.6,22.399999999999995,32.0,600.1666666666666
