,t_amb,t_sup_prim,t_ret_prim,t_sup_sec,t_ret_sec,qizm,temp,humidity,windspeed,sealevelpressure,hour_of_day,heating_on,delta_primary,delta_secondary,sin_hour,cos_hour,season
2021-11-18 06:00:00,7.3,79.3,32.4,43.2,33.7,83.0,6.0,81.07,3.6,1025.0,6,1,46.9,9.5,1.0,6.123233995736766e-17,1
2021-11-18 07:00:00,7.3,79.0,40.6,45.9,41.2,194.0,5.0,87.22,3.6,1025.1,7,1,38.4,4.699999999999996,0.9659258262890683,-0.25881904510252063,1
2021-11-18 08:00:00,7.3,78.9,40.5,46.0,41.2,142.0,6.0,81.07,3.6,1026.0,8,1,38.400000000000006,4.799999999999997,0.8660254037844387,-0.4999999999999998,1
2021-11-18 09:00:00,7.1,78.8,40.7,46.2,41.3,143.0,6.0,81.07,3.6,1026.0,9,1,38.099999999999994,4.900000000000006,0.7071067811865476,-0.7071067811865475,1
2021-11-18 10:00:00,7.4,79.0,40.9,46.2,41.4,141.0,6.0,81.5,5.3,1027.0,10,1,38.1,4.800000000000004,0.49999999999999994,-0.8660254037844387,1
2021-11-18 11:00:00,7.5,78.1,41.0,46.3,41.6,146.0,8.0,75.86,7.6,1027.0,11,1,37.099999999999994,4.699999999999996,0.258819045102521,-0.9659258262890682,1
2021-11-18 12:00:00,7.3,76.6,40.6,45.6,41.3,138.0,8.0,75.85,11.2,1026.0,12,1,35.99999999999999,4.300000000000004,1.2246467991473532e-16,-1.0,1
2021-11-18 13:00:00,8.1,76.8,40.1,45.2,40.8,130.0,8.0,75.94,3.6,1026.1,13,1,36.699999999999996,4.400000000000006,-0.2588190451025208,-0.9659258262890683,1
2021-11-18 14:00:00,7.5,77.7,40.5,45.7,41.2,134.0,7.0,81.21,14.8,1026.0,14,1,37.2,4.5,-0.4999999999999997,-0.8660254037844388,1
2021-11-18 15:00:00,7.2,77.8,40.7,45.9,41.3,141.0,6.0,93.3,14.8,1027.0,15,1,37.099999999999994,4.600000000000001,-0.7071067811865471,-0.7071067811865479,1
2021-11-18 16:00:00,6.5,78.8,40.9,46.3,41.5,140.0,6.0,93.43,15.9,1027.0,16,1,37.9,4.799999999999997,-0.8660254037844385,-0.5000000000000004,1
2021-11-18 17:00:00,6.5,79.3,41.1,46.5,41.8,141.0,6.0,87.0,9.4,1027.0,17,1,38.199999999999996,4.700000000000003,-0.9659258262890683,-0.25881904510252063,1
2021-11-18 18:00:00,6.9,79.0,41.2,46.7,41.8,141.0,6.0,87.0,3.6,1028.0,18,1,37.8,4.900000000000006,-1.0,-1.8369701987210297e-16,1
2021-11-18 19:00:00,7.2,79.2,41.2,46.6,41.9,141.0,6.0,87.18,6.8,1028.1,19,1,38.0,4.700000000000003,-0.9659258262890684,0.2588190451025203,1
2021-11-18 20:00:00,7.3,77.0,41.0,46.1,41.7,137.0,6.0,87.0,3.6,1028.0,20,1,36.0,4.399999999999999,-0.8660254037844386,0.5000000000000001,1
2021-11-18 21:00:00,7.3,77.2,40.8,45.9,41.5,135.0,6.0,81.07,3.6,1028.0,21,1,36.400000000000006,4.399999999999999,-0.7071067811865477,0.7071067811865474,1
2021-11-18 22:00:00,7.0,76.4,40.4,40.2,40.6,121.0,6.0,81.5,6.4,1028.1,22,1,36.00000000000001,-0.3999999999999986,-0.5000000000000004,0.8660254037844384,1
2021-11-18 23:00:00,7.6,70.6,38.4,33.7,33.6,0.0,6.0,87.0,5.4,1028.0,23,0,32.199999999999996,0.10000000000000142,-0.25881904510252157,0.9659258262890681,1
2021-11-19 00:00:00,6.6,65.3,36.2,30.5,29.6,0.0,7.0,75.68,3.6,1028.0,0,0,29.099999999999994,0.8999999999999986,0.0,1.0,1
2021-11-19 01:00:00,7.1,60.4,34.4,27.7,27.1,0.0,6.0,81.3,3.6,1028.1,1,0,26.0,0.5999999999999979,0.25881904510252074,0.9659258262890683,1
2021-11-19 02:00:00,7.0,56.2,32.8,26.7,26.0,0.0,6.0,81.07,3.6,1028.0,2,0,23.400000000000006,0.6999999999999993,0.49999999999999994,0.8660254037844387,1
2021-11-19 03:00:00,6.8,52.5,31.4,25.6,25.1,0.0,6.0,87.0,3.6,1028.0,3,0,21.1,0.5,0.7071067811865476,0.7071067811865476,1
2021-11-19 04:00:00,6.9,49.3,30.2,24.9,24.6,0.0,6.0,81.58,6.4,1028.1,4,0,19.099999999999998,0.29999999999999716,0.8660254037844386,0.5000000000000001,1
2021-11-19 05:00:00,6.3,46.6,29.1,24.7,24.3,0.0,6.0,81.07,0.0,1027.0,5,0,17.5,0.3999999999999986,0.9659258262890683,0.25881904510252074,1
2021-11-19 06:00:00,7.0,62.6,27.9,36.9,26.6,0.0,6.0,81.07,3.6,1028.0,6,0,34.7,10.299999999999997,1.0,6.123233995736766e-17,1
2021-11-19 07:00:00,7.6,78.9,40.0,45.6,40.7,213.0,6.0,81.3,3.6,1028.1,7,1,38.900000000000006,4.899999999999999,0.9659258262890683,-0.25881904510252063,1
2021-11-19 08:00:00,7.5,78.0,40.1,45.6,40.9,142.0,6.0,81.07,5.4,1028.0,8,1,37.9,4.700000000000003,0.8660254037844387,-0.4999999999999998,1
2021-11-19 09:00:00,7.1,78.6,40.3,45.7,41.0,144.0,7.0,75.68,13.0,1028.0,9,1,38.3,4.700000000000003,0.7071067811865476,-0.7071067811865475,1
2021-11-19 10:00:00,7.5,77.7,40.5,45.7,41.1,140.0,7.0,75.93,14.2,1028.1,10,1,37.2,4.600000000000001,0.49999999999999994,-0.8660254037844387,1
2021-11-19 11:00:00,7.3,76.7,40.4,45.5,41.0,136.0,8.0,70.69,13.0,1028.0,11,1,36.300000000000004,4.5,0.258819045102521,-0.9659258262890682,1
2021-11-19 12:00:00,7.8,74.3,39.9,44.8,40.6,131.0,9.0,61.53,18.4,1027.0,12,1,34.4,4.199999999999996,1.2246467991473532e-16,-1.0,1
2021-11-19 13:00:00,8.2,74.3,39.5,44.4,40.2,127.0,9.1,61.31,14.5,1026.1,13,1,34.8,4.199999999999996,-0.2588190451025208,-0.9659258262890683,1
2021-11-19 14:00:00,7.9,74.7,39.7,44.9,40.4,129.0,9.0,57.27,14.8,1026.0,14,1,35.0,4.5,-0.4999999999999997,-0.8660254037844388,1
2021-11-19 15:00:00,8.6,74.7,40.0,45.1,40.7,133.0,9.0,61.53,11.2,1026.0,15,1,34.7,4.399999999999999,-0.7071067811865471,-0.7071067811865479,1
2021-11-19 16:00:00,8.8,75.1,40.1,45.2,40.9,133.0,9.0,61.85,5.3,1026.0,16,1,34.99999999999999,4.300000000000004,-0.8660254037844385,-0.5000000000000004,1
2021-11-19 17:00:00,8.9,77.7,40.3,45.5,41.0,134.0,7.0,70.49,0.0,1026.0,17,1,37.400000000000006,4.5,-0.9659258262890683,-0.25881904510252063,1
2021-11-19 18:00:00,8.5,77.1,40.2,45.2,41.0,129.0,8.0,65.84,1.8,1026.0,18,1,36.89999999999999,4.200000000000003,-1.0,-1.8369701987210297e-16,1
2021-11-19 19:00:00,7.9,75.4,39.5,44.4,40.3,124.0,7.0,70.59,5.0,1025.1,19,1,35.900000000000006,4.100000000000001,-0.9659258262890684,0.2588190451025203,1
2021-11-19 20:00:00,8.4,76.2,39.8,44.8,40.5,126.0,7.0,70.49,5.4,1025.0,20,1,36.400000000000006,4.299999999999997,-0.8660254037844386,0.5000000000000001,1
2021-11-19 21:00:00,8.7,75.9,39.9,44.8,40.6,127.0,7.0,70.49,3.6,1026.0,21,1,36.00000000000001,4.199999999999996,-0.7071067811865477,0.7071067811865474,1
2021-11-19 22:00:00,7.7,72.3,38.9,33.2,33.6,41.0,7.1,70.27,1.8,1026.1,22,1,33.4,-0.3999999999999986,-0.5000000000000004,0.8660254037844384,1
2021-11-19 23:00:00,8.3,66.7,36.7,32.6,32.1,0.0,8.0,70.69,13.0,1026.0,23,0,30.0,0.5,-0.25881904510252157,0.9659258262890681,1
2021-11-20 00:00:00,8.8,61.7,34.9,29.3,28.4,0.0,8.0,75.85,5.4,1025.0,0,0,26.800000000000004,0.9000000000000021,0.0,1.0,1
2021-11-20 01:00:00,8.6,57.3,33.5,27.2,26.6,0.0,8.0,76.06,5.3,1025.1,1,0,23.799999999999997,0.5999999999999979,0.25881904510252074,0.9659258262890683,1
2021-11-20 02:00:00,7.9,53.6,32.0,26.5,25.9,0.0,7.0,75.7,3.6,1025.0,2,0,21.6,0.6000000000000014,0.49999999999999994,0.8660254037844387,1
2021-11-20 03:00:00,8.4,50.3,30.8,25.9,25.4,0.0,8.0,75.85,7.6,1024.0,3,0,19.499999999999996,0.5,0.7071067811865476,0.7071067811865476,1
2021-11-20 04:00:00,8.7,47.5,29.8,25.2,24.9,0.0,8.9,66.99,5.3,1024.1,4,0,17.7,0.3000000000000007,0.8660254037844386,0.5000000000000001,1
2021-11-20 05:00:00,8.6,45.0,28.9,25.0,24.6,0.0,8.0,70.69,5.4,1024.0,5,0,16.1,0.3999999999999986,0.9659258262890683,0.25881904510252074,1
2021-11-20 06:00:00,8.5,42.7,28.0,24.6,24.3,0.0,7.0,75.68,3.6,1024.0,6,0,14.700000000000003,0.3000000000000007,1.0,6.123233995736766e-17,1
2021-11-20 07:00:00,7.3,78.9,39.3,46.1,39.7,192.0,7.0,76.02,3.6,1024.1,7,1,39.60000000000001,6.399999999999999,0.9659258262890683,-0.25881904510252063,1
2021-11-20 08:00:00,8.3,77.8,40.1,45.4,40.8,145.0,8.0,75.85,0.0,1024.0,8,1,37.699999999999996,4.600000000000001,0.8660254037844387,-0.4999999999999998,1
2021-11-20 09:00:00,7.9,76.7,40.0,45.2,40.7,133.0,9.0,70.89,1.8,1024.0,9,1,36.7,4.5,0.7071067811865476,-0.7071067811865475,1
2021-11-20 10:00:00,9.1,74.8,40.0,44.9,40.7,135.0,10.0,71.09,3.6,1024.0,10,1,34.8,4.199999999999996,0.49999999999999994,-0.8660254037844387,1
2021-11-20 11:00:00,9.5,73.8,39.7,44.6,40.5,127.0,11.0,66.5,7.6,1023.0,11,1,34.099999999999994,4.100000000000001,0.258819045102521,-0.9659258262890682,1
2021-11-20 12:00:00,10.3,73.1,40.0,44.9,40.7,127.0,13.0,58.29,3.6,1023.0,12,1,33.099999999999994,4.199999999999996,1.2246467991473532e-16,-1.0,1
2021-11-20 13:00:00,10.5,42.0,38.9,33.3,33.4,0.0,13.9,51.38,10.7,1022.1,13,0,3.1000000000000014,-0.10000000000000142,-0.2588190451025208,-0.9659258262890683,1
2021-11-20 14:00:00,10.8,34.7,37.3,34.3,29.3,0.0,14.0,50.92,13.0,1022.0,14,0,-2.5999999999999943,4.9999999999999964,-0.4999999999999997,-0.8660254037844388,1
2021-11-20 15:00:00,10.8,33.3,36.2,27.8,27.0,0.0,13.0,54.35,11.2,1021.0,15,0,-2.9000000000000057,0.8000000000000007,-0.7071067811865471,-0.7071067811865479,1
2021-11-20 16:00:00,11.0,72.7,36.5,43.8,36.8,119.0,12.9,54.82,7.3,1021.1,16,1,36.2,7.0,-0.8660254037844385,-0.5000000000000004,1
2021-11-20 17:00:00,10.4,69.2,39.7,44.1,40.3,148.0,10.0,66.28,3.6,1021.0,17,1,29.5,3.8000000000000043,-0.9659258262890683,-0.25881904510252063,1
2021-11-20 18:00:00,9.9,74.7,40.3,45.5,40.9,133.0,7.0,75.68,11.2,1021.0,18,1,34.400000000000006,4.600000000000001,-1.0,-1.8369701987210297e-16,1
2021-11-20 19:00:00,8.0,75.8,41.0,46.1,41.6,140.0,7.0,76.2,4.2,1021.1,19,1,34.8,4.5,-0.9659258262890684,0.2588190451025203,1
2021-11-20 20:00:00,7.2,78.1,41.5,47.0,42.1,144.0,6.0,81.07,5.4,1021.0,20,1,36.599999999999994,4.899999999999999,-0.8660254037844386,0.5000000000000001,1
2021-11-20 21:00:00,7.0,76.8,41.0,45.2,41.8,134.0,7.0,75.68,3.6,1021.0,21,1,35.8,3.4000000000000057,-0.7071067811865477,0.7071067811865474,1
