,t_amb,t_sup_prim,t_ret_prim,t_sup_sec,t_ret_sec,qizm,temp,humidity,windspeed,sealevelpressure,hour_of_day,heating_on,delta_primary,delta_secondary,sin_hour,cos_hour,season
2021-11-18 06:00:00,7.1,79.3,37.1,41.9,33.1,102.0,6.0,81.07,3.6,1025.0,6,1,42.199999999999996,8.799999999999997,1.0,6.123233995736766e-17,1
2021-11-18 07:00:00,7.3,79.2,41.0,45.9,40.4,194.0,5.0,87.22,3.6,1025.1,7,1,38.2,5.5,0.9659258262890683,-0.25881904510252063,1
2021-11-18 08:00:00,7.4,79.1,41.1,46.2,40.0,147.0,6.0,81.07,3.6,1026.0,8,1,37.99999999999999,6.200000000000003,0.8660254037844387,-0.4999999999999998,1
2021-11-18 09:00:00,7.3,79.1,41.5,46.6,40.5,151.0,6.0,81.07,3.6,1026.0,9,1,37.599999999999994,6.100000000000001,0.7071067811865476,-0.7071067811865475,1
2021-11-18 10:00:00,7.3,79.4,41.8,46.9,40.7,154.0,6.0,81.5,5.3,1027.0,10,1,37.60000000000001,6.199999999999996,0.49999999999999994,-0.8660254037844387,1
2021-11-18 11:00:00,8.5,78.2,40.9,45.8,40.2,144.0,8.0,75.86,7.6,1027.0,11,1,37.300000000000004,5.599999999999994,0.258819045102521,-0.9659258262890682,1
2021-11-18 12:00:00,9.4,76.9,40.4,45.2,39.7,136.0,8.0,75.85,11.2,1026.0,12,1,36.50000000000001,5.5,1.2246467991473532e-16,-1.0,1
2021-11-18 13:00:00,8.9,76.7,40.3,45.2,39.7,135.0,8.0,75.94,3.6,1026.1,13,1,36.400000000000006,5.5,-0.2588190451025208,-0.9659258262890683,1
2021-11-18 14:00:00,8.3,78.0,40.5,45.5,39.8,137.0,7.0,81.21,14.8,1026.0,14,1,37.5,5.700000000000003,-0.4999999999999997,-0.8660254037844388,1
2021-11-18 15:00:00,7.3,78.1,40.7,45.7,39.8,136.0,6.0,93.3,14.8,1027.0,15,1,37.39999999999999,5.900000000000006,-0.7071067811865471,-0.7071067811865479,1
2021-11-18 16:00:00,6.9,78.8,41.3,46.3,40.5,143.0,6.0,93.43,15.9,1027.0,16,1,37.5,5.799999999999997,-0.8660254037844385,-0.5000000000000004,1
2021-11-18 17:00:00,6.8,79.5,41.6,46.6,40.7,148.0,6.0,87.0,9.4,1027.0,17,1,37.9,5.899999999999999,-0.9659258262890683,-0.25881904510252063,1
2021-11-18 18:00:00,6.9,79.8,41.7,46.7,40.8,145.0,6.0,87.0,3.6,1028.0,18,1,38.099999999999994,5.900000000000006,-1.0,-1.8369701987210297e-16,1
2021-11-18 19:00:00,7.3,78.8,41.6,46.6,40.7,146.0,6.0,87.18,6.8,1028.1,19,1,37.199999999999996,5.899999999999999,-0.9659258262890684,0.2588190451025203,1
2021-11-18 20:00:00,7.3,76.9,41.5,46.3,40.6,142.0,6.0,87.0,3.6,1028.0,20,1,35.400000000000006,5.699999999999996,-0.8660254037844386,0.5000000000000001,1
2021-11-18 21:00:00,7.5,77.6,41.3,46.3,40.5,140.0,6.0,81.07,3.6,1028.0,21,1,36.3,5.799999999999997,-0.7071067811865477,0.7071067811865474,1
2021-11-18 22:00:00,7.5,76.0,41.0,41.7,40.0,126.0,6.0,81.5,6.4,1028.1,22,1,35.0,1.7000000000000028,-0.5000000000000004,0.8660254037844384,1
2021-11-18 23:00:00,7.6,71.2,39.6,35.0,33.5,0.0,6.0,87.0,5.4,1028.0,23,0,31.6,1.5,-0.25881904510252157,0.9659258262890681,1
2021-11-19 00:00:00,7.5,67.2,37.9,32.4,29.0,0.0,7.0,75.68,3.6,1028.0,0,0,29.300000000000004,3.3999999999999986,0.0,1.0,1
2021-11-19 01:00:00,7.4,63.2,36.3,29.2,26.5,0.0,6.0,81.3,3.6,1028.1,1,0,26.900000000000006,2.6999999999999993,0.25881904510252074,0.9659258262890683,1
2021-11-19 02:00:00,7.4,59.4,34.7,28.1,25.9,0.0,6.0,81.07,3.6,1028.0,2,0,24.699999999999996,2.200000000000003,0.49999999999999994,0.8660254037844387,1
2021-11-19 03:00:00,7.4,56.1,33.4,27.6,25.4,0.0,6.0,87.0,3.6,1028.0,3,0,22.700000000000003,2.200000000000003,0.7071067811865476,0.7071067811865476,1
2021-11-19 04:00:00,7.3,53.1,32.2,27.0,24.9,0.0,6.0,81.58,6.4,1028.1,4,0,20.9,2.1000000000000014,0.8660254037844386,0.5000000000000001,1
2021-11-19 05:00:00,7.2,50.4,31.1,26.6,24.3,0.0,6.0,81.07,0.0,1027.0,5,0,19.299999999999997,2.3000000000000007,0.9659258262890683,0.25881904510252074,1
2021-11-19 06:00:00,7.2,76.8,30.8,37.0,25.9,0.0,6.0,81.07,3.6,1028.0,6,0,46.0,11.100000000000001,1.0,6.123233995736766e-17,1
2021-11-19 07:00:00,7.5,79.0,41.2,46.1,40.5,227.0,6.0,81.3,3.6,1028.1,7,1,37.8,5.600000000000001,0.9659258262890683,-0.25881904510252063,1
2021-11-19 08:00:00,7.5,78.3,40.1,45.1,39.6,134.0,6.0,81.07,5.4,1028.0,8,1,38.199999999999996,5.5,0.8660254037844387,-0.4999999999999998,1
2021-11-19 09:00:00,7.6,78.8,40.0,45.1,39.4,138.0,7.0,75.68,13.0,1028.0,9,1,38.8,5.700000000000003,0.7071067811865476,-0.7071067811865475,1
2021-11-19 10:00:00,8.4,78.1,40.0,45.1,39.5,136.0,7.0,75.93,14.2,1028.1,10,1,38.099999999999994,5.600000000000001,0.49999999999999994,-0.8660254037844387,1
2021-11-19 11:00:00,9.9,76.7,39.9,44.9,39.3,133.0,8.0,70.69,13.0,1028.0,11,1,36.800000000000004,5.600000000000001,0.258819045102521,-0.9659258262890682,1
2021-11-19 12:00:00,10.1,74.5,38.8,43.6,38.5,119.0,9.0,61.53,18.4,1027.0,12,1,35.7,5.100000000000001,1.2246467991473532e-16,-1.0,1
2021-11-19 13:00:00,11.1,74.0,38.9,43.6,38.5,122.0,9.1,61.31,14.5,1026.1,13,1,35.1,5.100000000000001,-0.2588190451025208,-0.9659258262890683,1
2021-11-19 14:00:00,10.4,75.0,38.7,43.6,38.3,118.0,9.0,57.27,14.8,1026.0,14,1,36.3,5.300000000000004,-0.4999999999999997,-0.8660254037844388,1
2021-11-19 15:00:00,10.2,75.1,38.9,43.8,38.6,123.0,9.0,61.53,11.2,1026.0,15,1,36.199999999999996,5.199999999999996,-0.7071067811865471,-0.7071067811865479,1
2021-11-19 16:00:00,9.8,74.8,39.0,43.8,38.6,121.0,9.0,61.85,5.3,1026.0,16,1,35.8,5.199999999999996,-0.8660254037844385,-0.5000000000000004,1
2021-11-19 17:00:00,9.2,77.9,39.6,44.7,39.1,128.0,7.0,70.49,0.0,1026.0,17,1,38.300000000000004,5.600000000000001,-0.9659258262890683,-0.25881904510252063,1
2021-11-19 18:00:00,9.0,77.2,40.0,45.0,39.5,132.0,8.0,65.84,1.8,1026.0,18,1,37.2,5.5,-1.0,-1.8369701987210297e-16,1
2021-11-19 19:00:00,8.9,75.6,39.8,44.6,39.4,127.0,7.0,70.59,5.0,1025.1,19,1,35.8,5.200000000000003,-0.9659258262890684,0.2588190451025203,1
2021-11-19 20:00:00,8.9,76.3,39.8,44.7,39.3,127.0,7.0,70.49,5.4,1025.0,20,1,36.5,5.400000000000006,-0.8660254037844386,0.5000000000000001,1
2021-11-19 21:00:00,9.0,76.1,39.9,44.8,39.4,128.0,7.0,70.49,3.6,1026.0,21,1,36.199999999999996,5.399999999999999,-0.7071067811865477,0.7071067811865474,1
2021-11-19 22:00:00,9.2,72.8,38.9,35.4,33.7,41.0,7.1,70.27,1.8,1026.1,22,1,33.9,1.6999999999999957,-0.5000000000000004,0.8660254037844384,1
2021-11-19 23:00:00,9.0,68.4,37.3,33.9,30.7,0.0,8.0,70.69,13.0,1026.0,23,0,31.10000000000001,3.1999999999999993,-0.25881904510252157,0.9659258262890681,1
2021-11-20 00:00:00,9.2,64.4,35.9,29.5,26.5,0.0,8.0,75.85,5.4,1025.0,0,0,28.500000000000007,3.0,0.0,1.0,1
