,t_amb,t_sup_prim,t_ret_prim,t_sup_sec,t_ret_sec,qizm,temp,humidity,windspeed,sealevelpressure,hour_of_day,heating_on,delta_primary,delta_secondary,sin_hour,cos_hour,season
2019-11-18 06:00:00,14.1,51.6,27.3,41.9,27.0,0.0,15.0,67.35,14.8,1014.0,6,0,24.3,14.899999999999999,1.0,6.123233995736766e-17,1
2019-11-18 07:00:00,14.1,71.7,44.7,45.5,39.8,472.0,14.9,67.51,4.1,1015.1,7,1,27.0,5.700000000000003,0.9659258262890683,-0.25881904510252063,1
2019-11-18 08:00:00,14.6,71.3,42.2,43.7,37.7,259.0,15.0,67.35,3.6,1016.0,8,1,29.099999999999994,6.0,0.8660254037844387,-0.4999999999999998,1
2019-11-18 09:00:00,14.8,67.8,33.3,35.4,31.4,0.0,14.0,71.84,1.8,1016.0,9,0,34.5,4.0,0.7071067811865476,-0.7071067811865475,1
2019-11-18 10:00:00,15.3,64.4,31.4,49.0,31.0,0.0,15.9,63.77,9.4,1017.0,10,0,33.00000000000001,18.0,0.49999999999999994,-0.8660254037844387,1
2019-11-18 11:00:00,15.7,57.6,30.8,44.9,30.9,0.0,16.0,67.55,1.8,1017.0,11,0,26.8,14.0,0.258819045102521,-0.9659258262890682,1
2019-11-18 12:00:00,16.2,52.0,30.4,41.4,30.8,0.0,17.0,67.76,13.0,1017.0,12,0,21.6,10.599999999999998,1.2246467991473532e-16,-1.0,1
2019-11-18 13:00:00,16.9,54.5,30.2,43.7,29.9,0.0,18.9,56.21,10.9,1017.1,13,0,24.3,13.800000000000004,-0.2588190451025208,-0.9659258262890683,1
2019-11-18 14:00:00,16.8,52.3,30.0,42.8,29.0,0.0,19.0,55.9,16.6,1017.0,14,0,22.299999999999997,13.799999999999997,-0.4999999999999997,-0.8660254037844388,1
2019-11-18 15:00:00,16.5,55.3,28.7,42.6,27.2,0.0,18.0,59.51,14.8,1018.0,15,0,26.599999999999998,15.400000000000002,-0.7071067811865471,-0.7071067811865479,1
2019-11-18 16:00:00,15.8,54.3,26.6,46.6,26.4,0.0,16.9,63.84,9.2,1017.9,16,0,27.699999999999996,20.200000000000003,-0.8660254037844385,-0.5000000000000004,1
2019-11-18 17:00:00,14.7,50.6,26.1,43.9,26.3,0.0,15.0,72.03,9.4,1019.0,17,0,24.5,17.599999999999998,-0.9659258262890683,-0.25881904510252063,1
2019-11-18 18:00:00,13.9,50.2,26.3,42.4,26.5,0.0,14.0,76.83,13.0,1019.0,18,0,23.900000000000002,15.899999999999999,-1.0,-1.8369701987210297e-16,1
2019-11-18 19:00:00,13.1,51.1,26.1,45.6,25.9,0.0,13.0,77.06,9.2,1020.2,19,0,25.0,19.700000000000003,-0.9659258262890684,0.2588190451025203,1
2019-11-18 20:00:00,12.4,47.8,25.8,43.6,25.9,0.0,12.0,81.87,5.4,1021.0,20,0,21.999999999999996,17.700000000000003,-0.8660254037844386,0.5000000000000001,1
2019-11-18 21:00:00,11.8,47.4,26.4,42.2,25.6,0.0,11.0,87.47,9.4,1021.0,21,0,21.0,16.6,-0.7071067811865477,0.7071067811865474,1
2019-11-18 22:00:00,11.0,47.2,26.2,42.1,25.1,0.0,10.0,87.6,5.3,1021.9,22,0,21.000000000000004,17.0,-0.5000000000000004,0.8660254037844384,1
2019-11-18 23:00:00,10.7,44.9,25.8,40.9,25.1,0.0,9.0,87.29,5.4,1022.0,23,0,19.099999999999998,15.799999999999997,-0.25881904510252157,0.9659258262890681,1
2019-11-19 00:00:00,10.1,44.6,25.8,39.9,24.8,0.0,8.0,87.19,3.6,1022.0,0,0,18.8,15.099999999999998,0.0,1.0,1
2019-11-19 01:00:00,9.2,44.1,25.3,39.5,24.4,0.0,8.1,96.65,4.0,1023.0,1,0,18.8,15.100000000000001,0.25881904510252074,0.9659258262890683,1
2019-11-19 02:00:00,8.7,43.2,24.7,38.9,23.9,0.0,6.0,93.3,7.6,1023.0,2,0,18.500000000000004,15.0,0.49999999999999994,0.8660254037844387,1
2019-11-19 03:00:00,8.7,42.3,24.2,38.2,23.6,0.0,6.0,100.0,5.4,1023.0,3,0,18.099999999999998,14.600000000000001,0.7071067811865476,0.7071067811865476,1
