,t_amb,t_sup_prim,t_ret_prim,t_sup_sec,t_ret_sec,qizm,temp,humidity,windspeed,sealevelpressure,hour_of_day,heating_on,delta_primary,delta_secondary,sin_hour,cos_hour,season
2021-11-18 06:00:00,7.1,79.0,35.2,40.3,31.1,90.0,6.0,81.07,3.6,1025.0,6,1,43.8,9.199999999999996,1.0,6.123233995736766e-17,1
2021-11-18 07:00:00,7.0,78.8,42.1,47.0,40.3,200.0,5.0,87.22,3.6,1025.1,7,1,36.699999999999996,6.700000000000003,0.9659258262890683,-0.25881904510252063,1
2021-11-18 08:00:00,7.5,78.5,41.5,46.2,40.6,160.0,6.0,81.07,3.6,1026.0,8,1,37.0,5.600000000000001,0.8660254037844387,-0.4999999999999998,1
2021-11-18 09:00:00,7.4,78.4,41.1,45.9,40.6,150.0,6.0,81.07,3.6,1026.0,9,1,37.300000000000004,5.299999999999997,0.7071067811865476,-0.7071067811865475,1
2021-11-18 10:00:00,7.6,78.6,41.1,45.8,40.6,160.0,6.0,81.5,5.3,1027.0,10,1,37.49999999999999,5.199999999999996,0.49999999999999994,-0.8660254037844387,1
2021-11-18 11:00:00,8.2,77.7,41.2,45.9,40.7,150.0,8.0,75.86,7.6,1027.0,11,1,36.5,5.199999999999996,0.258819045102521,-0.9659258262890682,1
2021-11-18 12:00:00,8.8,76.1,40.8,45.5,40.6,150.0,8.0,75.85,11.2,1026.0,12,1,35.3,4.899999999999999,1.2246467991473532e-16,-1.0,1
2021-11-18 13:00:00,8.7,76.4,40.7,45.5,40.3,140.0,8.0,75.94,3.6,1026.1,13,1,35.7,5.200000000000003,-0.2588190451025208,-0.9659258262890683,1
2021-11-18 14:00:00,8.2,76.8,40.7,45.3,40.3,140.0,7.0,81.21,14.8,1026.0,14,1,36.099999999999994,5.0,-0.4999999999999997,-0.8660254037844388,1
2021-11-18 15:00:00,7.7,77.4,40.8,45.4,40.3,150.0,6.0,93.3,14.8,1027.0,15,1,36.60000000000001,5.100000000000001,-0.7071067811865471,-0.7071067811865479,1
